Breakdown,TTM,12/31/20,12/31/19,12/31/18,12/31/17
Total Revenue,"95,842,000","94,471,000","139,865,000","158,902,000","134,674,000"
Operating Revenue,"95,842,000","94,471,000","139,865,000","158,902,000","134,674,000"
Cost of Revenue,"72,053,000","69,996,000","109,331,000","113,997,000","95,114,000"
Gross Profit,"23,789,000","24,475,000","30,534,000","44,905,000","39,560,000"
Operating Expense,"30,736,000","30,572,000","30,434,000","30,459,000","37,080,000"
Operating Income,"-6,947,000","-6,097,000","100,000","14,446,000","2,480,000"
Operating Cash Flow,"10,051,000","10,577,000","27,314,000","30,618,000","20,515,000"
Investing Cash Flow,"-5,370,000","-6,965,000","-11,458,000","-12,290,000","-8,201,000"
Financing Cash flow,"-6,167,000","-3,736,000","-19,758,000","-13,699,000","-14,554,000"
End Cash Position,"8,204,000","6,737,000","6,911,000","10,481,000","4,813,000"
Net Non Operating Expense Income,"-733,000","-697,000","-798,000","-748,000","-307,000"
Other Income Expense,"-1,741,000","-659,000","6,234,000","6,877,000","7,048,000"
Pretax Income,"-9,421,000","-7,453,000","5,536,000","20,575,000","9,221,000"
Tax Provision,"-1,677,000","-1,892,000","2,691,000","5,715,000","-48,000"
Net Income Common Stockholder,"-7,765,000","-5,543,000","2,924,000","14,824,000","9,195,000"
Diluted NI Available to Common Stochkholder,"-7,765,000","-5,543,000","2,924,000","14,824,000","9,195,000"
Basic EPS,-,-2.96,1.55,7.81,4.88
Diluted EPS,-,-2.96,1.54,7.74,4.85
Basic Average Shares,-,"1,870,027","1,882,499","1,897,623","1,882,834"
Diluted Average Shares,-,"1,870,027","1,895,126","1,914,107","1,897,633"
Total Expenses,"102,789,000","100,568,000","139,765,000","144,456,000","132,194,000"
Normalized Income,"-7,765,000","-5,543,000","2,924,000","14,824,000","9,195,000"
Interest Expense,"733,000","697,000","798,000","748,000","307,000"
Net Interest Income,"-733,000","-697,000","-798,000","-748,000","-307,000"
EBIT,"-8,688,000","-6,756,000","6,334,000","21,323,000","9,528,000"
EBITDA,"10,818,000",-,-,-,-
Reconciled Cost of Revenue,"72,053,000","69,996,000","109,331,000","113,997,000","95,114,000"
Reconciled Depreciation,"19,506,000","19,508,000","29,218,000","19,419,000","19,349,000"
Normalized EBITDA,"10,818,000","12,752,000","35,552,000","40,742,000","28,877,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
