Date,Field Production of Crude Oil (Thousand Barrels)
Jan-1920,34008
Feb-1920,33193
Mar-1920,36171
Apr-1920,34945
May-1920,36622
Jun-1920,36663
Jul-1920,37746
Aug-1920,38906
Sep-1920,37521
Oct-1920,39584
Nov-1920,38609
Dec-1920,38961
Jan-1921,38138
Feb-1921,35524
Mar-1921,41105
Apr-1921,40233
May-1921,42189
Jun-1921,40548
Jul-1921,40461
Aug-1921,41109
Sep-1921,36763
Oct-1921,35832
Nov-1921,38108
Dec-1921,42173
Jan-1922,43696
Feb-1922,41314
Mar-1922,47188
Apr-1922,45167
May-1922,47002
Jun-1922,46087
Jul-1922,47134
Aug-1922,47059
Sep-1922,45805
Oct-1922,48410
Nov-1922,48027
Dec-1922,50642
Jan-1923,52527
Feb-1923,48588
Mar-1923,56969
Apr-1923,59008
May-1923,62377
Jun-1923,62845
Jul-1923,65925
Aug-1923,66422
Sep-1923,65306
Oct-1923,67506
Nov-1923,65388
Dec-1923,59546
Jan-1924,57273
Feb-1924,55889
Mar-1924,60141
Apr-1924,59830
May-1924,61834
Jun-1924,59583
Jul-1924,61932
Aug-1924,62398
Sep-1924,60376
Oct-1924,60469
Nov-1924,56782
Dec-1924,57433
Jan-1925,53802
Feb-1925,48571
Mar-1925,53597
Apr-1925,51914
May-1925,53367
Jun-1925,51915
Jul-1925,52138
Aug-1925,52198
Sep-1925,51559
Oct-1925,51769
Nov-1925,49921
Dec-1925,49622
Jan-1926,59981
Feb-1926,54892
Mar-1926,60880
Apr-1926,60371
May-1926,62822
Jun-1926,61789
Jul-1926,65168
Aug-1926,67009
Sep-1926,65782
Oct-1926,69664
Nov-1926,69891
Dec-1926,72625
Jan-1927,71758
Feb-1927,68122
Mar-1927,75514
Apr-1927,73132
May-1927,76845
Jun-1927,75303
Jul-1927,78780
Aug-1927,78788
Sep-1927,75909
Oct-1927,77534
Nov-1927,74493
Dec-1927,74951
Jan-1928,72793
Feb-1928,68565
Mar-1928,74528
Apr-1928,72393
May-1928,75277
Jun-1928,72676
Jul-1928,75584
Aug-1928,77807
Sep-1928,76484
Oct-1928,79751
Nov-1928,76123
Dec-1928,79493
Jan-1929,82054
Feb-1929,75456
Mar-1929,82463
Apr-1929,80412
May-1929,84499
Jun-1929,83407
Jul-1929,91309
Aug-1929,92165
Sep-1929,87453
Oct-1929,88430
Nov-1929,78758
Dec-1929,80917
Jan-1930,79633
Feb-1930,74290
Mar-1930,78226
Apr-1930,77483
May-1930,80528
Jun-1930,77060
Jul-1930,76922
Aug-1930,74831
Sep-1930,71216
Oct-1930,72893
Nov-1930,67957
Dec-1930,66972
Jan-1931,65737
Feb-1931,60540
Mar-1931,69429
Apr-1931,72860
May-1931,76822
Jun-1931,75011
Jul-1931,78210
Aug-1931,68014
Sep-1931,64378
Oct-1931,73297
Nov-1931,73456
Dec-1931,73327
Jan-1932,67014
Feb-1932,62512
Mar-1932,67456
Apr-1932,67915
May-1932,68854
Jun-1932,65144
Jul-1932,66655
Aug-1932,66568
Sep-1932,65518
Oct-1932,65598
Nov-1932,63630
Dec-1932,58295
Jan-1933,65159
Feb-1933,61252
Mar-1933,75185
Apr-1933,65709
May-1933,86638
Jun-1933,84386
Jul-1933,85321
Aug-1933,85485
Sep-1933,78321
Oct-1933,76077
Nov-1933,69966
Dec-1933,72157
Jan-1934,72017
Feb-1934,65383
Mar-1934,75426
Apr-1934,75645
May-1934,79966
Jun-1934,79636
Jul-1934,81339
Aug-1934,79105
Sep-1934,75759
Oct-1934,76593
Nov-1934,72399
Dec-1934,74797
Jan-1935,78715
Feb-1935,72763
Mar-1935,81488
Apr-1935,78427
May-1935,82454
Jun-1935,82338
Jul-1935,85485
Aug-1935,84816
Sep-1935,84109
Oct-1935,88160
Nov-1935,86476
Dec-1935,88711
Jan-1936,88820
Feb-1936,82120
Mar-1936,90568
Apr-1936,90479
May-1936,93739
Jun-1936,90185
Jul-1936,92075
Aug-1936,95090
Sep-1936,90972
Oct-1936,95795
Nov-1936,91018
Dec-1936,97652
Jan-1937,98567
Feb-1937,93173
Mar-1937,106724
Apr-1937,104979
May-1937,110911
Jun-1937,105812
Jul-1937,110721
Aug-1937,115090
Sep-1937,109980
Oct-1937,110911
Nov-1937,104206
Dec-1937,106579
Jan-1938,106007
Feb-1938,94662
Mar-1938,106524
Apr-1938,102702
May-1938,98674
Jun-1938,94277
Jul-1938,102898
Aug-1938,106165
Sep-1938,98661
Oct-1938,101830
Nov-1938,98567
Dec-1938,102287
Jan-1939,102490
Feb-1939,93475
Mar-1939,106768
Apr-1939,105510
May-1939,110541
Jun-1939,104607
Jul-1939,110937
Aug-1939,80865
Sep-1939,108168
Oct-1939,114198
Nov-1939,111887
Dec-1939,114810
Jan-1940,117227
Feb-1940,108399
Mar-1940,121560
Apr-1940,119000
May-1940,123854
Jun-1940,119302
Jul-1940,127493
Aug-1940,130633
Sep-1940,130407
Oct-1940,136503
Nov-1940,133646
Dec-1940,135152
Jan-1941,110647
Feb-1941,100791
Mar-1941,112817
Apr-1941,111080
May-1941,116976
Jun-1941,115027
Jul-1941,118251
Aug-1941,121354
Sep-1941,119446
Oct-1941,126145
Nov-1941,123355
Dec-1941,128293
Jan-1942,128262
Feb-1942,113961
Mar-1942,114473
Apr-1942,105053
May-1942,110192
Jun-1942,108595
Jul-1942,111782
Aug-1942,120429
Sep-1942,115801
Oct-1942,120311
Nov-1942,116101
Dec-1942,120519
Jan-1943,117372
Feb-1943,108487
Mar-1943,121648
Apr-1943,119100
May-1943,123957
Jun-1943,120111
Jul-1943,127629
Aug-1943,130796
Sep-1943,130564
Oct-1943,136837
Nov-1943,133824
Dec-1943,135288
Jan-1944,135682
Feb-1944,128842
Mar-1944,136814
Apr-1944,133588
May-1944,141189
Jun-1944,137263
Jul-1944,141438
Aug-1944,145407
Sep-1944,142985
Oct-1944,146911
Nov-1944,142463
Dec-1944,145322
Jan-1945,147446
Feb-1945,133463
Mar-1945,148935
Apr-1945,144219
May-1945,151180
Jun-1945,145783
Jul-1945,151803
Aug-1945,151198
Sep-1945,132690
Oct-1945,132800
Nov-1945,135511
Dec-1945,138627
Jan-1946,143368
Feb-1946,132129
Mar-1946,136835
Apr-1946,140196
May-1946,148334
Jun-1946,146890
Jul-1946,152586
Aug-1946,149910
Sep-1946,143708
Oct-1946,148323
Nov-1946,144674
Dec-1946,146471
Jan-1947,144823
Feb-1947,134696
Mar-1947,152178
Apr-1947,149410
May-1947,156055
Jun-1947,153058
Jul-1947,159366
Aug-1947,160448
Sep-1947,157665
Oct-1947,165032
Nov-1947,158701
Dec-1947,165555
Jan-1948,164098
Feb-1948,155577
Mar-1948,167868
Apr-1948,164726
May-1948,170705
Jun-1948,166448
Jul-1948,171369
Aug-1948,173015
Sep-1948,163244
Oct-1948,174972
Nov-1948,170777
Dec-1948,177386
Jan-1949,167016
Feb-1949,150682
Mar-1949,162399
Apr-1949,150343
May-1949,154250
Jun-1949,147283
Jul-1949,145530
Aug-1949,148356
Sep-1949,148286
Oct-1949,155469
Nov-1949,156496
Dec-1949,155830
Jan-1950,152935
Feb-1950,139127
Mar-1950,151301
Apr-1950,149147
May-1950,159558
Jun-1950,161305
Jul-1950,170058
Aug-1950,176192
Sep-1950,176698
Oct-1950,183011
Nov-1950,176782
Dec-1950,177460
Jan-1951,183437
Feb-1951,166163
Mar-1951,187774
Apr-1951,183860
May-1951,191601
Jun-1951,184064
Jul-1951,190626
Aug-1951,193537
Sep-1951,188016
Oct-1951,198163
Nov-1951,188499
Dec-1951,191971
Jan-1952,192848
Feb-1952,184818
Mar-1952,197121
Apr-1952,192936
May-1952,157748
Jun-1952,185692
Jul-1952,188985
Aug-1952,192768
Sep-1952,195603
Oct-1952,201581
Nov-1952,193832
Dec-1952,205904
Jan-1953,203211
Feb-1953,183183
Mar-1953,202024
Apr-1953,191953
May-1953,198117
Jun-1953,197630
Jul-1953,204711
Aug-1953,204490
Sep-1953,196571
Oct-1953,193726
Nov-1953,188116
Dec-1953,193350
Jan-1954,193437
Feb-1954,178644
Mar-1954,201763
Apr-1954,198502
May-1954,200627
Jun-1954,194974
Jul-1954,194098
Aug-1954,190388
Sep-1954,184325
Oct-1954,189724
Nov-1954,190372
Dec-1954,198134
Jan-1955,209601
Feb-1955,191342
Mar-1955,213453
Apr-1955,206668
May-1955,207067
Jun-1955,197844
Jul-1955,205614
Aug-1955,206619
